nom_complet,role_exact,perimetre_role,email,telephone,bureau,service,composante,departement,mention,parcours,formation_nom
,Secrétariat pédagogique,formation,info.iutv@univ-paris13.fr,+33 1 49 40 30 89,"Bât. Copernic, 2ème étage (Département informatique)",,IUT de Villetaneuse,Informatique,Informatique,,BUT Informatique
,Secrétariat pédagogique,formation,gmpadm.iutsd@univ-paris13.fr,+33 1 49 40 61 63,,,IUT de Saint-Denis,GMP,,,BUT Génie mécanique et productique (GMP)
,Chef du département,departement,sgmdir.iutsd@univ-paris13.fr,+33 1 55 93 75 11,,,IUT de Saint-Denis,SGM,,,BUT Science et génie des matériaux (SGM)
,Secrétariat de direction,departement,sgmadm.iutsd@univ-paris13.fr,+33 1 55 93 75 11,,,IUT de Saint-Denis,SGM,,,BUT Science et génie des matériaux (SGM)
,Secrétariat pédagogique,formation,sgmadm.iutsd@univ-paris13.fr,+33 1 55 93 75 11,,,IUT de Saint-Denis,SGM,,,BUT Science et génie des matériaux (SGM)
,Contact formation continue,composante,formationcontinue.iutb@univ-paris13.fr,+33 1 48 38 88 23,,,IUT de Bobigny,,,,Service Formation continue (IUT Bobigny)
,Secrétariat de la licence (1ère année),formation,licence1.galilee@univ-paris13.fr,+33 1 49 40 38 18,C 203,,Institut Galilée,,Informatique,,Licence mention Informatique
,Secrétariat de la licence (2ème et 3ème années),formation,info.licence.galilee@univ-paris13.fr,+33 1 49 40 36 57,C 203,,Institut Galilée,,Informatique,,Licence mention Informatique
,Secrétariat (2ème année),formation,licence2.info.galilee@univ-paris13.fr,+33 1 49 40 30 10,H 012 / H 011,,Institut Galilée,,,,Double Licence mention Informatique - mention Mathématiques
,Secrétariat de la licence (1ère année),formation,licence1.galilee@univ-paris13.fr,+33 1 49 40 38 18,C 203,,Institut Galilée,,"Physique, Chimie",,"Licence mention Physique, Chimie"
,Secrétariat de la licence (2ème et 3ème années),formation,pc.licence.galilee@univ-paris13.fr,+33 1 49 40 36 58,C 203,,Institut Galilée,,"Physique, Chimie",,"Licence mention Physique, Chimie"
,Secrétariat (parcours MIM/MER),formation,math.licence.galilee@univ-paris13.fr,+33 1 49 40 36 57,C 203,,Institut Galilée,,Mathématiques,,Licence mention Mathématiques
,Secrétariat (1ère année),formation,math.licence.galilee@univ-paris13.fr,+33 1 49 40 38 18,C 203,,Institut Galilée,,Mathématiques,,Licence mention Mathématiques
Alain ROUSSEAU,Responsable de la formation,formation,,,,,Institut Galilée,,,,Double Licence mention Informatique - mention Mathématiques
Alice HERNIAUX,Responsable de formation,formation,alice.herniaux@univ-paris13.fr,,,,IUT de Bobigny,MMI,,,Licence professionnelle Jeux Vidéo (formation continue)
