composante,departement,diplome_type,mention,parcours,formation_nom,campus_lieu
"Faculté DSPS (Droit, Sciences politiques et sociales)",,Capacité en droit,,1ère et 2ème année,Capacité en Droit,Campus de Villetaneuse (USPN)
"Faculté DSPS (Droit, Sciences politiques et sociales)",,Double licence,,,Double Licence Droit – Économie,Campus de Villetaneuse (USPN)
"Faculté DSPS (Droit, Sciences politiques et sociales)",,Institut,,,Institut d'Études Judiciaires (IEJ),
"Faculté DSPS (Droit, Sciences politiques et sociales)",,Licence,Administration Économique et Sociale (AES),1ère année,Licence mention Administration Économique et Sociale (AES),Campus de Villetaneuse (USPN)
"Faculté DSPS (Droit, Sciences politiques et sociales)",,Licence,Administration Économique et Sociale (AES),2ème année,Licence mention Administration Économique et Sociale (AES),Campus de Villetaneuse (USPN)
"Faculté DSPS (Droit, Sciences politiques et sociales)",,Licence,Administration Économique et Sociale (AES),3ème année - parcours Gestion publique et parcours Entreprise,Licence mention Administration Économique et Sociale (AES),Campus de Villetaneuse (USPN)
"Faculté DSPS (Droit, Sciences politiques et sociales)",,Licence,Droit,1ère année,Licence mention Droit,Campus de Villetaneuse (USPN)
"Faculté DSPS (Droit, Sciences politiques et sociales)",,Licence,Droit,2ème année,Licence mention Droit,Campus de Villetaneuse (USPN)
"Faculté DSPS (Droit, Sciences politiques et sociales)",,Licence,Droit,3ème année,Licence mention Droit,Campus de Villetaneuse (USPN)
"Faculté DSPS (Droit, Sciences politiques et sociales)",,Licence,Sociologie et Science Politique,1ère et 2ème année,Licence mention Sociologie et Science Politique,Campus de Villetaneuse (USPN)
"Faculté DSPS (Droit, Sciences politiques et sociales)",,Licence,Sociologie et Science Politique,3ème année,Licence mention Sociologie et Science Politique,Campus de Villetaneuse (USPN)
"Faculté DSPS (Droit, Sciences politiques et sociales)",,Master,Droit,,Master mention Droit,
"Faculté DSPS (Droit, Sciences politiques et sociales)",,Master,Droit,M1 - Parcours Droit des affaires,Master mention Droit,
"Faculté DSPS (Droit, Sciences politiques et sociales)",,Master,Droit,M1 - Parcours Droit privé général,Master mention Droit,
"Faculté DSPS (Droit, Sciences politiques et sociales)",,Master,Droit,M1 - Parcours Droit public interne européen et international,Master mention Droit,
"Faculté DSPS (Droit, Sciences politiques et sociales)",,Master,Droit,M1 - Parcours Droit social et relations sociales dans l'entreprise,Master mention Droit,
"Faculté DSPS (Droit, Sciences politiques et sociales)",,Master,Droit Notarial,,Master mention Droit Notarial,
"Faculté DSPS (Droit, Sciences politiques et sociales)",,Master,Science Politique,,Master mention Science Politique,
"Faculté DSPS (Droit, Sciences politiques et sociales)",,Mention,Sciences Politiques,,Mention Sciences Politiques (DSPS),Campus de Villetaneuse (USPN)
"Faculté DSPS (Droit, Sciences politiques et sociales)",,NULL,,,NULL,Campus de Villetaneuse (USPN)
Institut Galilée,,Double licence,,,Double Licence mention Informatique - mention Mathématiques,Campus de Villetaneuse (USPN)
Institut Galilée,,Laboratoire,,,L2TI (laboratoire),Campus de Villetaneuse (USPN)
Institut Galilée,,Laboratoire,,,LAGA (laboratoire),Campus de Villetaneuse (USPN)
Institut Galilée,,Laboratoire,,,LBPS/CB3S (laboratoire),Campus de Villetaneuse (USPN)
Institut Galilée,,Licence,,,Licence mention Informatique (secrétariat),Campus de Villetaneuse (USPN)
Institut Galilée,,Licence,Informatique,,Licence mention Informatique,Campus de Villetaneuse (USPN)
Institut Galilée,,Licence,Mathématiques,,Licence mention Mathématiques,Campus de Villetaneuse (USPN)
Institut Galilée,,Licence,"Physique, Chimie",,"Licence mention Physique, Chimie",Campus de Villetaneuse (USPN)
Institut Galilée,,Master,MEEF,,Master MEEF (second degré) - parcours mathématiques,Campus de Villetaneuse (USPN)
Institut Galilée,Sup Galilée,Diplôme d’ingénieur,,,Ingénieur Énergétique (apprentissage),Campus de Villetaneuse (USPN)
Institut Galilée,Sup Galilée,Diplôme d’ingénieur,,,Ingénieur Informatique - parcours Informatique et Réseaux (apprentissage),Campus de Villetaneuse (USPN)
Institut Galilée,Sup Galilée,Diplôme d’ingénieur,,,Ingénieur Informatique (formation),Campus de Villetaneuse (USPN)
Institut Galilée,Sup Galilée,Diplôme d’ingénieur,,,Ingénieur Télécommunications et Réseaux (formation),Campus de Villetaneuse (USPN)
IUT de Bobigny,,Service,,,Service Formation continue (IUT Bobigny),Campus de Bobigny (USPN)
IUT de Bobigny,Carrières sociales (CS),Département,,,Département Carrières sociales (CS) - DUT (2018),Campus de Bobigny (USPN)
IUT de Bobigny,Carrières sociales (CS),Département,,,Département Carrières sociales (CS) - DUT (formations listées),Campus de Bobigny (USPN)
IUT de Bobigny,GEA,Département,,,BUT / DUT GEA (Département GEA - accueil),Campus de Bobigny (USPN)
IUT de Bobigny,GEA,DUT,,,DUT GEA Gestion des entreprises et des administrations (formation continue),Campus de Bobigny (USPN)
IUT de Bobigny,Génie biologique (GB),DUT,,,DUT GB Analyses biologiques et biochimiques (formation continue),Campus de Bobigny (USPN)
IUT de Bobigny,MMI,Licence professionnelle,,,Licence professionnelle Jeux Vidéo (formation continue),Campus de Bobigny (USPN)
IUT de Saint-Denis,GMP,BUT,,,BUT Génie mécanique et productique (GMP),Campus de Saint-Denis (USPN)
IUT de Saint-Denis,SGM,BUT,,,BUT Science et génie des matériaux (SGM),Campus de Saint-Denis (USPN)
